City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Nicoya,3,CR,1626834716,81,10.1483,-85.452,81.95,8.52
Saint Paul Harbor,100,US,1626834716,92,57.79,-152.4072,55.04,6.17
Asău,100,RO,1626834716,90,46.4333,26.4,63.52,2.77
Busselton,79,AU,1626834717,87,-33.65,115.3333,58.08,17.74
Quatre Cocos,17,MU,1626834717,68,-20.2078,57.7625,71.1,17.85
Sindor,66,RU,1626834717,60,62.8629,51.8905,58.23,3.4
Albany,42,US,1626834509,85,42.6001,-73.9662,72.09,5.01
Punta Arenas,40,CL,1626834717,93,-53.15,-70.9167,35.71,3.44
Atuona,78,PF,1626834718,75,-9.8,-139.0333,77.79,25.57
Tuckahoe,100,US,1626834718,86,37.5901,-77.5564,77.59,5.3
Barrow,90,US,1626834718,87,71.2906,-156.7887,37.42,20.71
Severo-Kuril'sk,74,RU,1626834719,88,50.6789,156.125,54.54,6.24
Mataura,100,NZ,1626834719,84,-46.1927,168.8643,46.47,1.86
Hithadhoo,100,MV,1626834719,77,-0.6,73.0833,81.73,12.33
Bakchar,10,RU,1626834719,59,57.0186,82.0711,70.77,3.58
Carnarvon,90,AU,1626834720,66,-24.8667,113.6333,71.67,10.36
Rikitea,72,PF,1626834720,60,-23.1203,-134.9692,71.85,22.57
Apatou,75,GF,1626834720,99,5.155,-54.3472,72.97,2.26
Thompson,90,CA,1626834713,49,55.7435,-97.8558,69.96,2.3
Vaini,40,TO,1626834720,83,-21.2,-175.2,80.76,6.91
Esperance,98,AU,1626834721,86,-33.8667,121.9,60.64,17.72
Airai,29,TL,1626834721,45,-8.9266,125.4092,73.17,5.82
Sangar,99,RU,1626834721,71,63.9242,127.4739,65.26,8.86
Coyhaique,0,CL,1626834721,87,-45.5752,-72.0662,42.75,3.44
Batagay-Alyta,100,RU,1626834722,56,67.8006,130.4114,62.1,3.94
Bredasdorp,51,ZA,1626834722,81,-34.5322,20.0403,50.29,8.05
Nouadhibou,0,MR,1626834722,88,20.931,-17.0347,69.78,11.5
Río Gallegos,0,AR,1626834723,86,-51.6226,-69.2181,32.05,4.61
Viedma,1,AR,1626834723,62,-40.8135,-62.9967,47.52,3.24
George Town,20,MY,1626834553,75,5.4112,100.3354,87.73,1.01
Dunedin,100,NZ,1626834723,68,-45.8742,170.5036,49.8,7.0
Cape Town,65,ZA,1626834511,82,-33.9258,18.4232,51.89,3.0
Hong Kong,100,HK,1626834612,97,22.2855,114.1577,81.25,7.0
Kirakira,29,SB,1626834724,74,-10.4544,161.9205,83.46,10.45
Kashgar,75,CN,1626834724,77,39.4547,75.9797,78.22,6.71
Ambilobe,2,MG,1626834724,77,-13.2,49.05,67.64,5.03
Hermanus,60,ZA,1626834725,74,-34.4187,19.2345,50.81,20.31
Krivosheino,36,RU,1626834725,62,57.3431,83.9261,68.92,2.17
Chardara,15,KZ,1626834725,33,41.2547,67.9692,84.36,6.96
College,40,US,1626834612,27,64.8569,-147.8028,87.78,14.97
Arraial do Cabo,71,BR,1626834725,68,-22.9661,-42.0278,64.11,8.05
New Norfolk,98,AU,1626834726,79,-42.7826,147.0587,55.71,3.0
Podor,71,MR,1626834726,54,16.6527,-14.9587,82.99,15.68
Ojinaga,40,MX,1626834726,27,29.5667,-104.4167,89.42,9.22
Rizhao,87,CN,1626834727,79,35.4275,119.4553,81.39,11.45
Otavi,0,NA,1626834727,37,-19.65,17.3333,52.32,3.22
Clyde River,90,CA,1626834727,100,70.4692,-68.5914,35.83,17.27
Dikson,100,RU,1626834727,66,73.5069,80.5464,47.5,14.65
Takoradze,5,GH,1626834728,83,4.8845,-1.7554,74.25,7.18
Yellowknife,20,CA,1626834728,46,62.456,-114.3525,74.28,5.75
Santiago,14,CL,1626834697,31,-33.4569,-70.6483,63.28,2.3
Salalah,75,OM,1626834483,94,17.0151,54.0924,77.09,8.05
Ajdabiya,2,LY,1626834728,75,30.7554,20.2263,75.42,7.9
Iskateley,100,RU,1626834729,65,67.6803,53.1512,59.72,11.9
Bluff,100,NZ,1626834729,79,-46.6,168.3333,46.8,4.7
Butaritari,15,KI,1626834729,74,3.0707,172.7902,81.99,7.94
Ushuaia,75,AR,1626834695,75,-54.8,-68.3,33.46,6.91
Kapaa,75,US,1626834730,75,22.0752,-159.319,85.98,4.0
East London,99,ZA,1626834730,68,-33.0153,27.9116,54.79,20.15
